Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 9221, 5253
violated, 7156, 5238
violated, 5033, 5205
violated, 5955, 5229
violated, 2080, 5182
violated, 4936, 5204
violated, 8264, 5246
violated, 5320, 5207
violated, 5853, 5227
violated, 7361, 5240
violated, 3856, 5197
violated, 3407, 5193
violated, 5599, 5225
violated, 2052, 5182
violated, 7821, 5243
violated, 1369, 5168
violated, 2660, 5188
violated, 7524, 5241
violated, 4764, 5203
violated, 6034, 5229
violated, 5672, 5225
violated, 2740, 5189
violated, 8837, 5250
violated, 2394, 5185
violated, 8667, 5249
violated, 8246, 5246
violated, 9570, 5271
violated, 549, 5147
violated, 9372, 5270
violated, 8715, 5249
violated, 9109, 5252
violated, 2101, 5182
violated, 8822, 5250
violated, 7675, 5242
violated, 5130, 5206
violated, 1921, 5180
violated, 5192, 5206
violated, 372, 5146
violated, 1517, 5176
violated, 2313, 5184
violated, 8868, 5251
violated, 7507, 5241
violated, 3513, 5194
violated, 2557, 5187
violated, 8515, 5248
violated, 6698, 5235
violated, 7320, 5240
violated, 8151, 5246
violated, 5886, 5228
violated, 6765, 5236
violated, 656, 5148
violated, 1896, 5180
violated, 6977, 5237
violated, 513, 5147
violated, 63, 5144
violated, 3849, 5196
violated, 3472, 5194
violated, 5110, 5205
violated, 5242, 5206
violated, 2670, 5188
violated, 4019, 5198
violated, 4693, 5202
violated, 1193, 5167
violated, 6441, 5233
violated, 9161, 5253
violated, 9415, 5270
violated, 8414, 5247
violated, 3296, 5193
violated, 3152, 5192
violated, 1695, 5178
violated, 2918, 5190
violated, 5021, 5205
violated, 4115, 5198
violated, 8415, 5247
violated, 8793, 5250
violated, 6938, 5237
violated, 1679, 5177
violated, 5779, 5227
violated, 8368, 5247
violated, 8778, 5250
violated, 5396, 5223
violated, 7126, 5238
violated, 2999, 5191
violated, 6291, 5232
violated, 2732, 5189
violated, 9099, 5252
violated, 232, 5145
violated, 1198, 5167
violated, 9401, 5270
violated, 5539, 5224
violated, 5493, 5223
violated, 7372, 5240
violated, 1308, 5168
violated, 276, 5146
violated, 8003, 5245
violated, 9829, 5492
violated, 5432, 5223
violated, 8164, 5246
violated, 6564, 5234
violated, 7397, 5240
violated, 6798, 5236
violated, 3784, 5196
violated, 7552, 5241
violated, 8054, 5245
violated, 7142, 5238
violated, 1157, 5167
violated, 6563, 5234
violated, 5814, 5227
violated, 3424, 5193
violated, 1941, 5180
violated, 7450, 5240
violated, 1000, 5151
violated, 1164, 5167
violated, 9825, 5491
violated, 342, 5146
violated, 6410, 5233
violated, 3189, 5192
violated, 334, 5146
violated, 7874, 5244
violated, 7867, 5244
violated, 3099, 5191
violated, 5817, 5227
violated, 9005, 5251
violated, 470, 5147
violated, 9309, 5253
violated, 6905, 5237
violated, 548, 5147
violated, 4563, 5202
violated, 5790, 5227
violated, 2004, 5181
violated, 2656, 5188
violated, 5421, 5223
violated, 3570, 5195
violated, 1584, 5176
violated, 7897, 5244
violated, 1505, 5176
violated, 6964, 5237
violated, 917, 5150
violated, 4632, 5202
violated, 6608, 5234
violated, 1767, 5178
violated, 3903, 5197
violated, 4055, 5198
violated, 4125, 5198
