Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 1458, 5175
violated, 6167, 5231
violated, 7405, 5240
violated, 6258, 5232
violated, 8238, 5246
violated, 78, 5144
violated, 5620, 5225
violated, 4489, 5201
violated, 3533, 5194
violated, 117, 5145
violated, 2392, 5185
violated, 5120, 5205
violated, 6274, 5232
violated, 8745, 5250
violated, 6124, 5230
violated, 1642, 5177
violated, 6087, 5230
violated, 3710, 5196
violated, 1867, 5179
violated, 9698, 5272
violated, 2995, 5190
violated, 9171, 5253
violated, 5143, 5206
violated, 6432, 5233
violated, 9770, 5451
violated, 3393, 5193
violated, 6502, 5234
violated, 6791, 5236
violated, 239, 5145
violated, 4799, 5203
violated, 3439, 5194
violated, 2122, 5182
violated, 7663, 5242
violated, 6295, 5232
violated, 8724, 5250
violated, 1922, 5180
violated, 2303, 5184
violated, 3054, 5191
violated, 5510, 5224
violated, 5767, 5226
violated, 8154, 5246
violated, 9182, 5253
violated, 5583, 5224
violated, 8126, 5245
violated, 3505, 5194
violated, 5187, 5206
violated, 6157, 5231
violated, 9852, 5500
violated, 3750, 5196
violated, 1588, 5176
violated, 2262, 5184
violated, 500, 5147
violated, 1144, 5167
violated, 753, 5149
violated, 2591, 5187
violated, 5882, 5228
violated, 4902, 5204
violated, 6948, 5237
violated, 8249, 5246
violated, 2158, 5183
violated, 970, 5150
violated, 4705, 5202
violated, 8315, 5247
violated, 2007, 5181
violated, 6062, 5230
violated, 7479, 5241
violated, 3286, 5193
violated, 5414, 5223
violated, 4216, 5199
violated, 9619, 5272
violated, 613, 5148
violated, 5357, 5222
violated, 4245, 5199
violated, 9851, 5499
violated, 7102, 5238
violated, 7008, 5237
violated, 5306, 5207
violated, 7622, 5242
violated, 40, 5144
violated, 6292, 5232
violated, 9274, 5253
violated, 3810, 5196
violated, 639, 5148
violated, 6283, 5232
violated, 422, 5147
violated, 5240, 5206
violated, 3373, 5193
violated, 3827, 5196
violated, 538, 5147
violated, 760, 5149
violated, 6209, 5231
violated, 3796, 5196
violated, 4613, 5202
violated, 9375, 5270
violated, 5478, 5223
violated, 9927, 5556
violated, 5862, 5228
violated, 6632, 5235
violated, 5549, 5224
violated, 9866, 5510
valid, 9876, 5516
violated, 1288, 5168
violated, 7671, 5242
violated, 9038, 5252
violated, 808, 5149
violated, 5690, 5226
violated, 3122, 5191
violated, 5381, 5222
violated, 2246, 5184
violated, 8, 3392
violated, 1142, 5167
violated, 187, 5145
violated, 2748, 5189
violated, 2383, 5185
violated, 8746, 5250
violated, 1825, 5179
violated, 2990, 5190
violated, 3182, 5192
violated, 6857, 5236
violated, 4100, 5198
violated, 1560, 5176
violated, 963, 5150
violated, 4248, 5199
violated, 6379, 5233
violated, 5039, 5205
violated, 1653, 5177
violated, 4608, 5202
violated, 4699, 5202
violated, 5736, 5226
violated, 6517, 5234
violated, 4985, 5205
violated, 8052, 5245
violated, 9365, 5269
violated, 707, 5148
violated, 6980, 5237
violated, 8662, 5249
violated, 4052, 5198
violated, 8749, 5250
violated, 494, 5147
violated, 1453, 5175
violated, 8782, 5250
violated, 5542, 5224
violated, 6293, 5232
violated, 3741, 5196
violated, 2456, 5186
violated, 7025, 5238
violated, 8777, 5250
violated, 329, 5146
violated, 3419, 5193
violated, 8757, 5250
violated, 5561, 5224
violated, 7371, 5240
violated, 8998, 5251
violated, 5267, 5207
violated, 327, 5146
violated, 3431, 5194
violated, 4851, 5203
violated, 4428, 5201
violated, 8234, 5246
violated, 8480, 5248
violated, 1351, 5168
violated, 6170, 5231
violated, 6024, 5229
violated, 9656, 5272
violated, 4473, 5201
violated, 7686, 5242
violated, 8981, 5251
violated, 7837, 5243
violated, 6228, 5232
violated, 4695, 5202
violated, 7932, 5244
violated, 9605, 5271
violated, 9424, 5270
violated, 5444, 5223
violated, 9364, 5269
violated, 2576, 5187
violated, 5001, 5205
violated, 1423, 5169
violated, 9024, 5252
violated, 7340, 5240
violated, 8507, 5248
violated, 2318, 5184
violated, 7382, 5240
violated, 5892, 5228
violated, 607, 5148
violated, 9534, 5271
violated, 1864, 5179
violated, 5369, 5222
violated, 1345, 5168
violated, 7599, 5242
violated, 8104, 5245
violated, 4367, 5200
violated, 533, 5147
violated, 505, 5147
violated, 2675, 5188
violated, 7635, 5242
violated, 9568, 5271
violated, 4403, 5200
violated, 3803, 5196
violated, 1395, 5168
violated, 3007, 5191
violated, 3700, 5195
violated, 7620, 5242
violated, 606, 5148
violated, 3679, 5195
violated, 7087, 5238
violated, 8127, 5245
violated, 7707, 5242
violated, 4989, 5205
violated, 2223, 5183
violated, 4280, 5200
violated, 2698, 5188
violated, 8196, 5246
violated, 8607, 5249
violated, 7523, 5241
violated, 961, 5150
violated, 319, 5146
violated, 3321, 5193
violated, 826, 5149
violated, 1871, 5179
violated, 4092, 5198
violated, 6285, 5232
violated, 4102, 5198
violated, 7237, 5239
violated, 2133, 5182
violated, 825, 5149
violated, 1167, 5167
violated, 234, 5145
violated, 6403, 5233
violated, 2363, 5185
violated, 2119, 5182
violated, 5780, 5227
violated, 6695, 5235
violated, 9607, 5271
violated, 7810, 5243
violated, 170, 5145
violated, 8248, 5246
violated, 691, 5148
violated, 5052, 5205
violated, 6902, 5237
violated, 8257, 5246
violated, 7589, 5242
violated, 5990, 5229
violated, 6011, 5229
violated, 251, 5145
violated, 8752, 5250
violated, 2791, 5189
violated, 1843, 5179
violated, 8424, 5247
violated, 4498, 5201
violated, 2084, 5182
violated, 3225, 5192
violated, 7779, 5243
violated, 6017, 5229
violated, 8376, 5247
violated, 6427, 5233
violated, 5616, 5225
violated, 6189, 5231
violated, 8333, 5247
violated, 2601, 5187
violated, 3273, 5193
violated, 2930, 5190
violated, 6741, 5235
violated, 5279, 5207
violated, 4299, 5200
violated, 6540, 5234
violated, 2210, 5183
violated, 5518, 5224
violated, 5081, 5205
violated, 4875, 5204
violated, 7082, 5238
violated, 3248, 5192
violated, 9686, 5272
valid, 9999, 5636
violated, 8408, 5247
violated, 5413, 5223
violated, 2063, 5182
violated, 4585, 5202
violated, 6971, 5237
violated, 1773, 5178
violated, 1883, 5180
violated, 9850, 5499
violated, 4781, 5203
violated, 7043, 5238
violated, 5269, 5207
violated, 2572, 5187
violated, 56, 5144
violated, 6592, 5234
violated, 433, 5147
violated, 8799, 5250
violated, 669, 5148
violated, 9563, 5271
violated, 2882, 5190
violated, 5701, 5226
violated, 1263, 5167
violated, 9833, 5495
violated, 9938, 5561
violated, 2249, 5184
violated, 448, 5147
violated, 2166, 5183
violated, 3313, 5193
violated, 2506, 5186
violated, 6571, 5234
violated, 4275, 5199
violated, 7531, 5241
violated, 7757, 5243
violated, 9247, 5253
violated, 1669, 5177
violated, 3775, 5196
violated, 7791, 5243
violated, 6300, 5232
violated, 3139, 5192
violated, 5250, 5206
violated, 30, 5144
violated, 8029, 5245
violated, 9459, 5270
violated, 3527, 5194
violated, 2919, 5190
violated, 2333, 5185
violated, 5293, 5207
violated, 4879, 5204
violated, 5281, 5207
violated, 3511, 5194
violated, 8171, 5246
violated, 5874, 5228
violated, 9323, 5269
violated, 286, 5146
violated, 4443, 5201
violated, 8862, 5250
violated, 403, 5146
violated, 2123, 5182
violated, 7641, 5242
violated, 9197, 5253
violated, 807, 5149
violated, 8903, 5251
violated, 4124, 5198
violated, 4812, 5203
violated, 1437, 5169
violated, 8289, 5247
violated, 9716, 5273
violated, 3537, 5194
violated, 6559, 5234
violated, 5287, 5207
violated, 128, 5145
violated, 285, 5146
violated, 7125, 5238
violated, 4742, 5203
violated, 9571, 5271
violated, 1639, 5177
violated, 1768, 5178
violated, 2645, 5188
violated, 5390, 5223
violated, 6148, 5231
violated, 605, 5148
violated, 139, 5145
violated, 524, 5147
violated, 5739, 5226
violated, 6604, 5234
violated, 1292, 5168
violated, 6640, 5235
violated, 1985, 5181
violated, 21, 5144
violated, 627, 5148
violated, 828, 5149
violated, 1511, 5176
violated, 3284, 5193
violated, 2025, 5181
violated, 5389, 5223
violated, 4934, 5204
violated, 5223, 5206
violated, 8698, 5249
violated, 1166, 5167
violated, 3699, 5195
violated, 5521, 5224
violated, 5700, 5226
violated, 6570, 5234
violated, 144, 5145
violated, 9776, 5453
violated, 4703, 5202
violated, 9828, 5492
violated, 2268, 5184
violated, 2207, 5183
violated, 2539, 5187
violated, 7498, 5241
violated, 1925, 5180
violated, 3662, 5195
violated, 5576, 5224
violated, 6789, 5236
violated, 3687, 5195
violated, 5486, 5223
violated, 231, 5145
violated, 4850, 5203
violated, 2197, 5183
violated, 939, 5150
violated, 5835, 5227
violated, 1223, 5167
violated, 8996, 5251
violated, 525, 5147
violated, 9665, 5272
violated, 1110, 5151
violated, 7145, 5238
violated, 4375, 5200
violated, 5083, 5205
violated, 8242, 5246
violated, 1229, 5167
violated, 2026, 5181
violated, 3926, 5197
violated, 6520, 5234
violated, 7357, 5240
violated, 5171, 5206
violated, 8228, 5246
violated, 47, 5144
violated, 1670, 5177
violated, 9988, 5627
violated, 8673, 5249
violated, 5794, 5227
violated, 7187, 5239
violated, 7460, 5241
violated, 6046, 5230
violated, 5017, 5205
violated, 4950, 5204
violated, 4968, 5204
violated, 5768, 5226
violated, 1212, 5167
violated, 2662, 5188
violated, 4017, 5198
violated, 4868, 5204
violated, 5744, 5226
violated, 6253, 5232
violated, 2073, 5182
violated, 6321, 5232
violated, 3557, 5194
violated, 5614, 5225
violated, 5937, 5228
violated, 8105, 5245
violated, 943, 5150
violated, 1705, 5178
violated, 5525, 5224
violated, 6462, 5233
violated, 8969, 5251
violated, 2787, 5189
violated, 6185, 5231
violated, 6841, 5236
violated, 7965, 5244
violated, 8801, 5250
violated, 1943, 5180
violated, 6529, 5234
violated, 116, 5145
violated, 2673, 5188
violated, 2365, 5185
violated, 5765, 5226
violated, 5262, 5207
violated, 2503, 5186
violated, 3801, 5196
violated, 722, 5149
violated, 9410, 5270
violated, 4118, 5198
violated, 7680, 5242
violated, 601, 5148
violated, 1890, 5180
violated, 5284, 5207
violated, 6562, 5234
violated, 6718, 5235
violated, 3577, 5195
violated, 668, 5148
violated, 9316, 5254
violated, 456, 5147
violated, 8802, 5250
violated, 1269, 5167
violated, 2470, 5186
violated, 3036, 5191
violated, 4827, 5203
violated, 8293, 5247
violated, 4817, 5203
violated, 263, 5146
violated, 2699, 5188
violated, 8884, 5251
violated, 7239, 5239
violated, 2802, 5189
violated, 3890, 5197
violated, 5012, 5205
violated, 7637, 5242
violated, 7916, 5244
violated, 5101, 5205
violated, 7090, 5238
violated, 1314, 5168
violated, 3116, 5191
violated, 7604, 5242
violated, 9151, 5252
violated, 2642, 5188
violated, 7422, 5240
violated, 7488, 5241
violated, 3846, 5196
violated, 2822, 5189
violated, 5165, 5206
violated, 7179, 5239
violated, 6775, 5236
violated, 2289, 5184
violated, 1830, 5179
violated, 7532, 5241
violated, 8784, 5250
violated, 7392, 5240
violated, 2485, 5186
violated, 1502, 5176
violated, 7423, 5240
violated, 8513, 5248
violated, 5485, 5223
violated, 5437, 5223
violated, 6405, 5233
violated, 1102, 5151
violated, 1442, 5169
violated, 7350, 5240
violated, 3815, 5196
violated, 7933, 5244
violated, 6735, 5235
violated, 758, 5149
violated, 9222, 5253
violated, 2782, 5189
violated, 9637, 5272
violated, 2531, 5187
violated, 5094, 5205
violated, 5797, 5227
violated, 7656, 5242
violated, 9995, 5634
violated, 1874, 5179
violated, 932, 5150
violated, 7694, 5242
violated, 9628, 5272
violated, 7365, 5240
violated, 8057, 5245
violated, 2137, 5182
violated, 4465, 5201
violated, 8631, 5249
violated, 2254, 5184
violated, 2573, 5187
violated, 895, 5150
violated, 2441, 5186
violated, 5995, 5229
violated, 7984, 5244
violated, 2708, 5188
violated, 2285, 5184
violated, 629, 5148
violated, 3589, 5195
violated, 1612, 5177
violated, 2768, 5189
violated, 293, 5146
violated, 4681, 5202
violated, 4790, 5203
violated, 87, 5144
violated, 1977, 5181
violated, 2405, 5185
violated, 9144, 5252
violated, 8730, 5250
violated, 6521, 5234
violated, 2523, 5187
violated, 3334, 5193
violated, 9204, 5253
violated, 6767, 5236
violated, 9766, 5449
violated, 1488, 5176
violated, 2390, 5185
violated, 9407, 5270
violated, 4263, 5199
violated, 4249, 5199
violated, 1002, 5151
violated, 1268, 5167
violated, 3966, 5197
violated, 9857, 5502
violated, 1243, 5167
violated, 7, 3391
violated, 9602, 5271
violated, 2823, 5189
violated, 9129, 5252
violated, 1331, 5168
violated, 4988, 5205
violated, 7265, 5239
violated, 284, 5146
violated, 2175, 5183
violated, 4077, 5198
violated, 9482, 5270
violated, 9757, 5442
violated, 1259, 5167
violated, 6165, 5231
violated, 9675, 5272
violated, 5016, 5205
violated, 7328, 5240
violated, 2060, 5182
violated, 7040, 5238
violated, 3906, 5197
violated, 9856, 5502
violated, 3718, 5196
violated, 1096, 5151
violated, 1607, 5177
violated, 2959, 5190
violated, 3174, 5192
violated, 3940, 5197
violated, 3999, 5198
violated, 4342, 5200
violated, 5598, 5225
violated, 53, 5144
violated, 1516, 5176
violated, 4544, 5201
violated, 8704, 5249
violated, 7127, 5238
violated, 1213, 5167
violated, 7465, 5241
violated, 4502, 5201
violated, 9121, 5252
violated, 1567, 5176
violated, 4400, 5200
violated, 1316, 5168
violated, 6560, 5234
violated, 221, 5145
violated, 7877, 5244
violated, 5069, 5205
violated, 4328, 5200
violated, 197, 5145
violated, 1289, 5168
violated, 7225, 5239
violated, 229, 5145
violated, 9384, 5270
violated, 4557, 5201
violated, 8204, 5246
violated, 9683, 5272
violated, 3349, 5193
violated, 9973, 5603
violated, 6637, 5235
violated, 7700, 5242
violated, 317, 5146
violated, 269, 5146
violated, 5966, 5229
violated, 6962, 5237
violated, 9525, 5271
violated, 2891, 5190
violated, 189, 5145
violated, 268, 5146
violated, 4166, 5199
violated, 5523, 5224
violated, 8904, 5251
violated, 9046, 5252
violated, 9807, 5466
violated, 1797, 5179
violated, 9516, 5271
violated, 6393, 5233
violated, 5099, 5205
violated, 7780, 5243
violated, 8219, 5246
violated, 6409, 5233
violated, 5603, 5225
violated, 2291, 5184
violated, 8474, 5248
violated, 9993, 5631
violated, 9990, 5628
violated, 4547, 5201
violated, 3372, 5193
violated, 8021, 5245
violated, 7937, 5244
violated, 2399, 5185
violated, 1856, 5179
violated, 676, 5148
violated, 4880, 5204
violated, 2686, 5188
violated, 4167, 5199
violated, 1538, 5176
violated, 5679, 5225
violated, 7268, 5239
violated, 7463, 5241
violated, 1905, 5180
violated, 5555, 5224
violated, 9098, 5252
violated, 2543, 5187
violated, 8389, 5247
violated, 5590, 5224
violated, 6615, 5234
violated, 3732, 5196
violated, 7866, 5244
violated, 4578, 5202
violated, 3622, 5195
violated, 5447, 5223
violated, 3531, 5194
violated, 169, 5145
violated, 8440, 5248
violated, 9533, 5271
violated, 9416, 5270
violated, 3120, 5191
violated, 6199, 5231
violated, 409, 5147
violated, 3190, 5192
violated, 3624, 5195
violated, 301, 5146
violated, 5958, 5229
violated, 9141, 5252
violated, 176, 5145
violated, 5218, 5206
violated, 7774, 5243
violated, 5340, 5222
violated, 8092, 5245
violated, 368, 5146
violated, 8769, 5250
violated, 6777, 5236
violated, 7551, 5241
violated, 4523, 5201
violated, 2374, 5185
violated, 5753, 5226
violated, 9713, 5272
violated, 7091, 5238
violated, 9787, 5457
violated, 7317, 5240
violated, 9687, 5272
violated, 152, 5145
violated, 450, 5147
violated, 6251, 5232
violated, 7435, 5240
violated, 3960, 5197
violated, 1866, 5179
violated, 1379, 5168
violated, 3658, 5195
violated, 2332, 5184
violated, 7206, 5239
violated, 1850, 5179
violated, 6014, 5229
violated, 7333, 5240
violated, 6728, 5235
violated, 9342, 5269
violated, 369, 5146
violated, 5048, 5205
violated, 6077, 5230
violated, 1559, 5176
violated, 2219, 5183
violated, 7521, 5241
violated, 9356, 5269
violated, 8141, 5245
violated, 9823, 5490
violated, 9206, 5253
violated, 9913, 5551
violated, 9432, 5270
violated, 9050, 5252
violated, 5109, 5205
violated, 4907, 5204
violated, 4160, 5199
violated, 2339, 5185
violated, 5712, 5226
violated, 4127, 5198
violated, 149, 5145
violated, 2066, 5182
violated, 916, 5150
violated, 5675, 5225
violated, 762, 5149
violated, 1125, 5151
violated, 122, 5145
violated, 553, 5147
violated, 998, 5151
violated, 6790, 5236
violated, 4301, 5200
violated, 1126, 5151
violated, 1373, 5168
violated, 5383, 5222
violated, 5986, 5229
violated, 2725, 5189
violated, 7281, 5239
violated, 8830, 5250
violated, 1209, 5167
violated, 2532, 5187
violated, 9191, 5253
violated, 620, 5148
violated, 1931, 5180
violated, 3928, 5197
violated, 1745, 5178
violated, 1687, 5177
violated, 7543, 5241
violated, 8093, 5245
violated, 109, 5145
violated, 630, 5148
violated, 2646, 5188
violated, 8067, 5245
violated, 7627, 5242
violated, 8160, 5246
violated, 2880, 5190
violated, 6420, 5233
violated, 9212, 5253
violated, 9302, 5253
violated, 7432, 5240
violated, 7987, 5244
violated, 4921, 5204
violated, 6473, 5233
violated, 926, 5150
violated, 1649, 5177
violated, 1472, 5175
violated, 4232, 5199
violated, 2049, 5181
violated, 6469, 5233
violated, 8635, 5249
violated, 4535, 5201
violated, 1685, 5177
violated, 8405, 5247
violated, 83, 5144
violated, 8045, 5245
violated, 8307, 5247
violated, 6089, 5230
violated, 7216, 5239
violated, 5847, 5227
violated, 9057, 5252
violated, 9861, 5507
violated, 3236, 5192
violated, 9780, 5455
violated, 3805, 5196
violated, 3614, 5195
violated, 987, 5150
violated, 930, 5150
violated, 1267, 5167
violated, 2636, 5188
violated, 2696, 5188
violated, 6357, 5233
violated, 4233, 5199
violated, 6282, 5232
violated, 3632, 5195
violated, 7650, 5242
violated, 1586, 5176
violated, 2193, 5183
violated, 4630, 5202
violated, 8532, 5248
violated, 8490, 5248
violated, 2463, 5186
violated, 9820, 5489
violated, 7742, 5243
violated, 6322, 5232
violated, 2614, 5188
violated, 1022, 5151
violated, 130, 5145
violated, 3380, 5193
violated, 7624, 5242
violated, 7061, 5238
violated, 2264, 5184
violated, 1962, 5180
violated, 9673, 5272
violated, 8275, 5246
violated, 2067, 5182
violated, 3016, 5191
violated, 7684, 5242
violated, 1307, 5168
violated, 5762, 5226
violated, 171, 5145
violated, 7997, 5244
violated, 8875, 5251
violated, 2813, 5189
violated, 2140, 5182
violated, 3037, 5191
violated, 4419, 5201
violated, 2948, 5190
violated, 4021, 5198
violated, 1019, 5151
violated, 5879, 5228
violated, 3121, 5191
violated, 1156, 5167
violated, 6652, 5235
violated, 7100, 5238
violated, 6039, 5229
violated, 2433, 5186
violated, 1614, 5177
violated, 1899, 5180
violated, 6665, 5235
violated, 7336, 5240
violated, 2846, 5189
violated, 9867, 5511
violated, 4159, 5199
violated, 8540, 5248
violated, 6270, 5232
violated, 6415, 5233
violated, 7998, 5244
violated, 9104, 5252
violated, 6096, 5230
violated, 9283, 5253
violated, 5913, 5228
violated, 6612, 5234
violated, 893, 5150
violated, 4487, 5201
violated, 7545, 5241
violated, 8327, 5247
violated, 9153, 5252
violated, 1201, 5167
violated, 6131, 5230
violated, 8361, 5247
violated, 519, 5147
violated, 2172, 5183
violated, 6843, 5236
violated, 5041, 5205
violated, 9944, 5579
violated, 5912, 5228
violated, 9455, 5270
violated, 3086, 5191
violated, 9685, 5272
violated, 5808, 5227
violated, 5684, 5226
violated, 7374, 5240
violated, 9738, 5273
violated, 5565, 5224
violated, 6747, 5236
violated, 1401, 5168
violated, 1438, 5169
violated, 8596, 5249
violated, 9327, 5269
violated, 1427, 5169
violated, 6600, 5234
violated, 167, 5145
violated, 8957, 5251
violated, 2016, 5181
violated, 7387, 5240
violated, 247, 5145
violated, 2627, 5188
violated, 3106, 5191
violated, 8674, 5249
violated, 1210, 5167
violated, 8941, 5251
violated, 8402, 5247
violated, 2308, 5184
violated, 2075, 5182
violated, 1852, 5179
violated, 3142, 5192
violated, 3555, 5194
violated, 6906, 5237
violated, 8371, 5247
violated, 7407, 5240
violated, 9762, 5447
violated, 8383, 5247
violated, 7651, 5242
violated, 1827, 5179
violated, 6863, 5236
violated, 8653, 5249
violated, 8858, 5250
violated, 8552, 5248
violated, 4011, 5198
violated, 5264, 5207
violated, 9906, 5547
violated, 9621, 5272
violated, 1195, 5167
violated, 8647, 5249
violated, 7159, 5238
violated, 3842, 5196
violated, 5475, 5223
violated, 658, 5148
violated, 745, 5149
violated, 8265, 5246
violated, 4101, 5198
violated, 7141, 5238
violated, 6591, 5234
violated, 716, 5149
violated, 3434, 5194
violated, 6263, 5232
violated, 1819, 5179
violated, 217, 5145
violated, 6303, 5232
violated, 6915, 5237
violated, 1690, 5177
violated, 5481, 5223
violated, 8964, 5251
violated, 1537, 5176
violated, 8986, 5251
violated, 3808, 5196
violated, 3132, 5191
violated, 6830, 5236
violated, 2987, 5190
violated, 2074, 5182
violated, 3167, 5192
violated, 6389, 5233
violated, 6945, 5237
violated, 4844, 5203
violated, 5170, 5206
violated, 3580, 5195
violated, 6126, 5230
violated, 6265, 5232
violated, 6499, 5234
violated, 9009, 5251
violated, 294, 5146
violated, 1822, 5179
violated, 8132, 5245
violated, 4900, 5204
violated, 9812, 5467
violated, 6349, 5233
violated, 1961, 5180
violated, 7391, 5240
violated, 6625, 5235
violated, 967, 5150
violated, 2111, 5182
violated, 7471, 5241
violated, 4752, 5203
violated, 6191, 5231
violated, 719, 5149
violated, 5315, 5207
violated, 6771, 5236
violated, 4685, 5202
violated, 4220, 5199
violated, 4967, 5204
violated, 7758, 5243
violated, 9088, 5252
violated, 8516, 5248
violated, 7647, 5242
violated, 6510, 5234
violated, 8839, 5250
violated, 555, 5147
violated, 5062, 5205
violated, 6348, 5233
violated, 398, 5146
violated, 9967, 5601
violated, 574, 5148
violated, 4771, 5203
violated, 4308, 5200
violated, 5206, 5206
violated, 7491, 5241
violated, 359, 5146
violated, 5440, 5223
violated, 9428, 5270
violated, 283, 5146
violated, 3359, 5193
violated, 4382, 5200
violated, 4111, 5198
violated, 8933, 5251
violated, 6919, 5237
violated, 2583, 5187
violated, 4853, 5203
violated, 8529, 5248
violated, 9503, 5271
violated, 3568, 5194
violated, 3427, 5194
violated, 5668, 5225
violated, 6700, 5235
violated, 6768, 5236
violated, 6787, 5236
violated, 7596, 5242
violated, 4202, 5199
violated, 4858, 5204
violated, 9720, 5273
violated, 9449, 5270
violated, 5528, 5224
violated, 7692, 5242
violated, 1659, 5177
violated, 4836, 5203
violated, 7204, 5239
violated, 9781, 5455
violated, 3862, 5197
violated, 1378, 5168
violated, 2252, 5184
violated, 8906, 5251
violated, 9661, 5272
violated, 3397, 5193
violated, 948, 5150
violated, 5770, 5226
violated, 8163, 5246
violated, 3766, 5196
violated, 1009, 5151
violated, 4211, 5199
violated, 8693, 5249
violated, 2410, 5185
violated, 2933, 5190
violated, 1306, 5168
violated, 5348, 5222
violated, 3387, 5193
violated, 9143, 5252
violated, 3141, 5192
violated, 1551, 5176
violated, 499, 5147
violated, 3942, 5197
violated, 4981, 5205
violated, 8277, 5246
violated, 3130, 5191
violated, 3539, 5194
violated, 5193, 5206
violated, 5551, 5224
violated, 5734, 5226
violated, 3561, 5194
violated, 5997, 5229
violated, 4395, 5200
violated, 849, 5149
violated, 5769, 5226
violated, 5375, 5222
violated, 1677, 5177
violated, 5131, 5206
violated, 1464, 5175
violated, 4029, 5198
violated, 7228, 5239
violated, 7929, 5244
violated, 541, 5147
violated, 9981, 5606
violated, 7064, 5238
violated, 3421, 5193
violated, 9983, 5607
violated, 2367, 5185
violated, 9804, 5463
violated, 7060, 5238
violated, 183, 5145
violated, 9499, 5271
violated, 4043, 5198
violated, 1902, 5180
violated, 7158, 5238
violated, 692, 5148
violated, 1611, 5177
violated, 657, 5148
violated, 5424, 5223
violated, 5139, 5206
violated, 6512, 5234
violated, 1374, 5168
violated, 1129, 5151
violated, 9586, 5271
violated, 8304, 5247
violated, 651, 5148
violated, 2862, 5190
violated, 3769, 5196
violated, 5670, 5225
violated, 8080, 5245
violated, 41, 5144
violated, 1851, 5179
violated, 1992, 5181
violated, 2538, 5187
violated, 4262, 5199
violated, 7068, 5238
violated, 960, 5150
violated, 9916, 5552
violated, 7205, 5239
violated, 1094, 5151
violated, 9884, 5535
violated, 2021, 5181
violated, 5112, 5205
violated, 9848, 5498
violated, 1820, 5179
violated, 1361, 5168
violated, 7027, 5238
violated, 7051, 5238
violated, 7917, 5244
violated, 7453, 5241
violated, 5155, 5206
violated, 7670, 5242
violated, 248, 5145
violated, 2761, 5189
violated, 2743, 5189
violated, 4352, 5200
violated, 663, 5148
violated, 5, 3391
violated, 3216, 5192
violated, 8823, 5250
violated, 4338, 5200
violated, 8100, 5245
violated, 3342, 5193
violated, 8321, 5247
violated, 4062, 5198
violated, 4569, 5202
violated, 9947, 5581
violated, 2281, 5184
violated, 3678, 5195
violated, 4901, 5204
violated, 2653, 5188
violated, 1897, 5180
violated, 4580, 5202
violated, 9402, 5270
violated, 3820, 5196
violated, 2707, 5188
violated, 9520, 5271
violated, 2588, 5187
violated, 3318, 5193
violated, 2157, 5183
violated, 4306, 5200
violated, 4753, 5203
violated, 5526, 5224
violated, 1356, 5168
violated, 8849, 5250
violated, 2741, 5189
violated, 1802, 5179
violated, 7334, 5240
violated, 1358, 5168
violated, 4317, 5200
violated, 7806, 5243
violated, 8262, 5246
violated, 8720, 5249
violated, 3995, 5198
violated, 6364, 5233
violated, 8885, 5251
violated, 414, 5147
violated, 9386, 5270
violated, 6542, 5234
violated, 4163, 5199
violated, 909, 5150
violated, 7242, 5239
violated, 5472, 5223
violated, 8578, 5248
violated, 7559, 5241
violated, 7103, 5238
violated, 3647, 5195
violated, 6513, 5234
violated, 1382, 5168
violated, 7610, 5242
violated, 4845, 5203
violated, 9146, 5252
violated, 3178, 5192
violated, 2967, 5190
violated, 3834, 5196
violated, 7693, 5242
violated, 7380, 5240
violated, 7768, 5243
violated, 9704, 5272
violated, 9388, 5270
violated, 3074, 5191
violated, 3953, 5197
violated, 1550, 5176
violated, 6809, 5236
violated, 2086, 5182
violated, 841, 5149
violated, 6932, 5237
violated, 2208, 5183
violated, 7609, 5242
violated, 4823, 5203
violated, 4309, 5200
violated, 4486, 5201
violated, 2451, 5186
violated, 2149, 5183
violated, 3034, 5191
violated, 3882, 5197
violated, 9265, 5253
violated, 7024, 5238
violated, 4717, 5203
violated, 2511, 5186
violated, 6220, 5232
violated, 9115, 5252
violated, 54, 5144
violated, 2110, 5182
violated, 8428, 5247
violated, 1278, 5168
violated, 2457, 5186
violated, 7884, 5244
violated, 159, 5145
violated, 4576, 5202
violated, 7501, 5241
violated, 9175, 5253
violated, 4027, 5198
violated, 3554, 5194
violated, 7607, 5242
violated, 7640, 5242
violated, 9271, 5253
violated, 5594, 5225
violated, 1413, 5168
violated, 9925, 5555
violated, 4706, 5203
violated, 5343, 5222
violated, 4614, 5202
violated, 1870, 5179
violated, 2466, 5186
violated, 3131, 5191
violated, 5899, 5228
violated, 4892, 5204
violated, 6956, 5237
violated, 3309, 5193
violated, 1995, 5181
violated, 8497, 5248
violated, 5088, 5205
violated, 9462, 5270
violated, 2912, 5190
violated, 2126, 5182
violated, 670, 5148
violated, 3310, 5193
violated, 6246, 5232
violated, 5460, 5223
violated, 511, 5147
violated, 2634, 5188
violated, 6101, 5230
violated, 1928, 5180
violated, 5178, 5206
violated, 3798, 5196
violated, 3959, 5197
violated, 9010, 5252
violated, 634, 5148
violated, 1838, 5179
violated, 3136, 5192
violated, 7231, 5239
violated, 2829, 5189
violated, 8764, 5250
violated, 7481, 5241
violated, 5076, 5205
violated, 3902, 5197
violated, 6988, 5237
violated, 9771, 5451
violated, 1151, 5167
violated, 4507, 5201
violated, 8172, 5246
violated, 1980, 5181
violated, 7918, 5244
